email,company_name,website,city,state,profession
gsolis@laclinica.org,"La Clinica Fruitvale Dental",https://www.laclinica.org,Oakland,California,"Dental clinic"
drwilliams@emergencydentalservice.com,"Emergency Dentist Oakland CA",https://www.emergencydentalservice.com,Oakland,California,"Emergency dental service"
office.dballendds@sbcglobal.net,"Uptown Pediatric Dentistry Denise Bass Allen DDSINC",http://www.denisebassallendds.com,Oakland,California,"Paediatric Dentist"
fujinaka@fujiperio.com,"Glenn M Fujinaka DDS",http://www.fujinakaperio.com,Oakland,California,"Dental implants periodontist"
annarda@griggsorthodontics.com,"Griggs Orthodontics: Reginald Griggs DDS",https://www.griggsorthodontics.com,"Castro Valley",California,"Cosmetic dentist"
smile@florestaplazadental.com,"Floresta Plaza Dental",http://www.florestaplazadental.com,"San Leandro",California,"General Dentistry"
implants@perio.org,"Contemporary Periodontics & Dental Implants",http://www.yuriveber.com,Berkeley,California,"Dental implants periodontist"
appointments@smilebritedentistry.com,"Smile Brite Dental",https://www.smilebritedentistry.com,Anaheim,California,"Cosmetic dentist"
ramesh@ddsgowda.com,"Golden State Dental Group: Gowda Ramesh DDS",http://www.ddsgowda.com,Anaheim,California,"Dental implants periodontist"
ahpediatricdentist@att.net,"Anaheim Hills Pediatric Dental Practice",https://www.anaheimhillspediatricdentistry.com,Anaheim,California,"Paediatric Dentist"
superking@superkingmarket.com,"FUNLAND DENTAL",https://superkingmarkets.com,Anaheim,California,"Dental clinic"
drrobertgo@gofamilydental.com,"Go Family Dental",http://www.gofamilydental.com,Anaheim,California,"Dental clinic"
mykidsdentistanaheimhills@smilegeneration.com,"My Kids Dentist & Orthodontics",https://www.mykidsdentistanaheimhills.com,Anaheim,California,"Paediatric Dentist"
beausoares@att.net,"Anaheim Hills Oral Maxillofacial & Implant Surgery",http://anaheimhillsoralsurgery.com,Anaheim,California,"Oral surgeon"
drbeap@tustinpediatricdentistry.com,"Pediatric Dentistry",http://www.tustinpediatricdentistry.com,Tustin,California,"Paediatric Dentist"
tustin@bakerpediatricdentalcare.com,"Ryan B. Baker DMD - Pediatric Dentistry",http://www.bakerpediatricdentalcare.com,Tustin,California,"Paediatric Dentist"
pohri@healthysmilesoc.org,"Healthy Smiles For Kids of Orange County",http://www.healthysmilesoc.org,"Garden Grove",California,"Dental clinic"
drsoboh@sobohdental.com,"Soboh Liswi Dental",http://www.sobohliswidental.com,Pomona,California,"Dental clinic"
implants-na-programs@dentsplysirona.com,"Providence Prosthodontics Dental Group",http://guichetdental.com,Orange,California,"Dental implants periodontist"
dentist@joycekahngdds.com,"Joyce Kahng DDS",http://www.joycekahngdds.com,"Costa Mesa",California,"Cosmetic dentist"
smile@lollipopdental.com,"Lollipop Dental - Placentia",https://lollipopdental.com,Placentia,California,"Paediatric Dentist"
drfahmy@buenaparksmiles.com,"Buena Park Dental Center",http://www.buenaparksmiles.com,"Buena Park",California,"Dental clinic"
smohs@carecredit.com,"Grand Dental",https://www.carecredit.com,Anaheim,California,"Dental clinic"
clovis@aavadental.com,"Aava Dental",http://aavadental.com,Fullerton,California,"Dental clinic"
orange@goldcoastdental.com,"Orange Dental Care",https://orangesmiles.com,Orange,California,"Dental clinic"
tustin@mycreativesmiles.com,"Dr. Amit Shah DDS / Dentist: Tustin",https://www.tustinsmile.com,Tustin,California,"Dental implants periodontist"
njcarden5114@att.net,"Kevin K Tanaka DDS",https://findadentist.ada.org,Orange,California,"General Dentistry"
925-754-5551mydentist@smilelinedentistry.com,"Smile Line Dentistry",http://www.smilelinedentistry.com,Antioch,California,"Cosmetic dentist"
drgoyal@northshorekidsdental.com,"North Shore Kids Dental",http://www.northshorekidsdental.com,Antioch,California,"Dental clinic"
drnassiri@vivodental.com,"Vivo Dental",http://www.vivodental.com,Antioch,California,"Dental clinic"
zulay@loftindental.com,"Loftin Dental Family and Cosmetic Dentistry",http://www.loftindental.com,Concord,California,"Dental clinic"
naz@moragadentalcare.com,"Moraga Dental Care",https://www.moragadentalcare.com,Moraga,California,"Cosmetic dentist"
referrals@mychildrenschoice.com,"Childrens Choice Dental Care",http://www.mychildrenschoice.com,Antioch,California,"Paediatric Dentist"
brentwood@orcharddentist.com,"Orchard Dentistry+Orthodontics",http://www.orcharddentist.com,Brentwood,California,"Dental clinic"
danville@kidstoothdoctor.com,"Pediatric Dentistry",https://www.kidstoothdoctor.com,Concord,California,"Paediatric Dentist"
drchang@cd-wc.com,"Children's Dentistry of Walnut Creek",http://www.cd-wc.com,"Walnut Creek",California,"Pediatric Dentist"
jake@brentwoodpress.com,"Alameda Pediatric Dentistry - Brentwood",https://www.thepress.net,Brentwood,California,"Pediatric Dentist"
drperez@afivestarsmile.com,"Ricardo M Perez DDS",https://afivestarsmile.com,"Pleasant Hill",California,"Cosmetic dentist"
appointments@popedental.com,"Pope Dental",https://popedental.com,"Walnut Creek",California,"Cosmetic Dentist"
scott@dradishian.com,"Adishian Scott R DDS Inc",http://www.cosmeticdentistrypalmdesert.com,"Palm Desert",California,"Cosmetic Dentist"
eddieso@arcadiachildrendentist.com,"Arcadia Pediatric Dental Practice & Orthodontics",https://www.arcadiachildrendentist.com,Monrovia,California,"Paediatric Dentist"
r.camacho@sunsetdentalprofessionals.com,"Sunset Dental Professionals",http://www.sunsetdentalprofessionals.com,"West Covina",California,"Dental clinic"
info1@pasadenachildrensdentistry.com,"Pasadena Childrens Dentistry & Orthodontics",https://pasadenachildrensdentistry.com,Pasadena,California,"Paediatric Dentist"
letran@emilyletrandds.com,"Foothill Dental Center",http://www.emilyletrandds.com,Monrovia,California,"General Dentistry"
smile@frankdds.com,"Thomas Frank DDS",http://www.frankdds.com,Bakersfield,California,"Cosmetic dentist"
bakersfieldkidsdentistry@smilegeneration.com,"Bakersfield Kids Dentistry and Orthodontics",https://www.bakersfieldkidsdentistry.com,Bakersfield,California,"Paediatric Dentist"
dentist@gatewayfamilydentalca.com,"Gateway Family Dentistry",http://www.gatewayfamilydentalca.com,Bakersfield,California,"Dental clinic"
denise@bakersfieldendo.com,"Bakersfield Endodontics",http://www.bakersfieldendo.com,Bakersfield,California,"Dental clinic"
hinfantedds@bellarisadds.com,"Bella Risa Dental",https://bellarisadds.com,Bakersfield,California,"Dental clinic"
vikky@millennium-dental.net,"Millenium Dental Center",https://www.millennium-dental.net,Bakersfield,California,"Dental clinic"
