email,company,website,city,state,profession,phone,country
froutdesk@sfrealestategroup.net,"SF Investments Group",http://sfrealestategroup.net,Portland,Oregon,"Property Consultant",19712001996,USA
david@threearchinvestors.com,"Three Arch Investors",http://threearchinvestors.com,"Lake Oswego",Oregon,"Property Developer",19493226983,USA
stephenb@harsch.com,"Harsch Investment Properties",https://www.harsch.com,Portland,Oregon,"Property Developer",15032422900,USA
brad@dpw503.com,"Discount Property Wholesalers",http://www.discountpropertywholesalers.com,Portland,Oregon,"Property Developer",15034703170,USA
a.eck@pacresmortgage.com,"Chris Olson Homes",http://www.chrisolsonhomes.com,Portland,Oregon,"Property Consultant",15038966100,USA
ajsilvestrini@bpmgrp.com,"BPM Real Estate Group",http://www.bpmrealestategroup.com,Portland,Oregon,"Property Developer",15032274000,USA
yamhillvalley@investorlab.com,"Investor Lab",https://investorlab.com,Portland,Oregon,"Property Investment",15034510545,USA
john.chilson@imgre.com,"Investors Management Group Inc.",http://www.imgre.com,Portland,Oregon,"Investment company",17472625600,USA
marie.flavin@ipx1031.com,"IPX1031 - Investment Property Exchange Services Inc.",https://www.ipx1031.com,Portland,Oregon,"Financial institution",15032233911,USA
eric@rarebirdportland.com,"Rarebird Portland",http://rarebirdportland.com,Portland,Oregon,"Property Investment",15034510545,USA
am@annamariedavault.com,"Davault Real Estate Inc. at ReMax equity group",http://www.annamariedavault.com,Clackamas,Oregon,"Property Consultant",15033107465,USA
clayton@inhabitre.com,"Clayton Williams - Inhabit Real Estate - Portland Real Estate Broker",https://www.claytonwilliamspdx.com,Portland,Oregon,"Property Consultant",14044322451,USA
marcus@marcusbrown.com,"Marcus Brown Properties",http://www.portlandonthemarket.com,Portland,Oregon,"Property Consultant",15039571179,USA
darris.cassidy@fairwayamerica.com,"Fairway America",https://www.fairwayamerica.com,Portland,Oregon,"Investment company",15039069100,USA
jpilkes@prologis.com,Prologis,http://www.prologis.com,Portland,Oregon,"Property Developer",15032767373,USA
melody.larue@ourtempleton.com,"NBP Capital",http://nbpcapital.com,Portland,Oregon,"Investment company",19712792295,USA
tlooney@umpquainvestments.com,"Umpqua Investments Inc",http://www.umpquainvestments.com,Portland,Oregon,"Investment service",15032267000,USA
ti@sutherlandplumbing.com,"Castle Rock Investor & Dev Llc",http://www.sutherlandplumbing.com,Aloha,Oregon,"Property Developer",15037545167,USA
aabowlin@re-transition.com,"Real Estate Transition Solutions",https://www.re-transition.com,Portland,Oregon,"Property Investment",15039465656,USA
tim@uaapdx.com,"Urban Asset Advisors",https://www.urbanassetadvisors.com,Portland,Oregon,"Property Developer",15034457557,USA
stan@transpacificnw.com,"Transpacific Investments LLC",http://www.transpacificnw.com,"Lake Oswego",Oregon,"Investment service",15032249854,USA
acquisitions@portlandhouseworks.com,"Portland Houseworks",http://portlandhouseworks.com,Portland,Oregon,"Property Developer",19713004501,USA
croush@skbcos.com,SKB,https://skbcos.com,Portland,Oregon,"Property Developer",15032202600,USA
jblaser@bhhsnw.com,"Berkshire Hathaway HomeServices Northwest Real Estate: John Blaser",http://www.centraloregonpropertysales.com,Bend,Oregon,"Property Consultant",15413228880,USA
kristi.mexia@hollywoodparkca.com,Stifel,https://www.stifel.com,Bend,Oregon,"Financial institution",15416398340,USA
sean.barton@cascadesir.com,"Sean Barton - Cascade Sotheby's International Realty",http://seanbarton.cascadesothebysrealty.com,Bend,Oregon,"Property Consultant",15413067669,USA
alexis@north-pt.com,"North Point Inc. Real Estate & Development",http://www.north-pt.com,"Coos Bay",Oregon,"Property Developer",15412691601,USA
lorena@c-rem.com,"Centurion Real Estate Management LLC - Corvallis",https://www.c-rem.com,Corvallis,Oregon,"Investment service",15417584200,USA
nate@oregonrei.com,"Oregon REI Home Solutions",http://www.oregonallcash.com,Albany,Oregon,"Property Developer",15417027014,USA
541-229-3071@investorsend.com,"Grand Real Estate Investments Home | Facebook",https://www.greihousebuyers.com,Eugene,Oregon,"Property Consultant",15412495990,USA
tomconnor@springcapitalgroup.com,"Spring Capital Group",http://springcapitalgroup.com,Eugene,Oregon,"Investment service",15416830771,USA
gwinkler@abrwinkler.com,"Abr Winkler Investment Real Estate",http://www.abrwinkler.com,Portland,Oregon,"Property Investment",15034057820,USA
justin@precisioncapital.net,"Precision Capital",http://www.precisioncapital.net,Eugene,Oregon,"Investment service",15414852223,USA
tori@mwinv.com,"Mountain West Investment Corporation",http://www.mwinv.com,Salem,Oregon,"Property Developer",15035814654,USA
allison@thegoldenrulegroupllc.com,"Larry and Allison Buy Houses",http://www.larryandallisonbuyhouses.com,Gaston,Oregon,"Property Investment",15039662926,USA
oriel@commerceproperties.com,"Commerce Investment",https://www.commerceproperties.com,Portland,Oregon,"Property Developer",15032243315,USA
seller@katiejanepropertiesinc.com,"katie jane properties Inc.",https://katie-jane-properties-inc.business.site,"Klamath Falls",Oregon,"Property Investment",18887277075,USA
andyp@molatorecpa.com,"MSP Wealth Management",http://www.mspwealth.com,"Klamath Falls",Oregon,"Investment service",15418844164,USA
heidi.borlaug@northwestfcs.com,"Northwest Farm Credit Services",https://www.northwestfcs.com,"Klamath Falls",Oregon,"Financial institution",15418507500,USA
diana@1031capitalsolutions.com,"1031 Capital Solutions",https://1031capitalsolutions.com,"Lake Oswego",Oregon,"Investment company",18004455908,USA
prs@positiveresidentialsolutions.us,"Positive Residential Solutions",http://positiveresidentialsolutions.com,"Lake Oswego",Oregon,"Property Investment",18887536472,USA
will@ironmountainwm.com,"Iron Mountain Wealth Management",http://www.ironmountainwm.com,"Lake Oswego",Oregon,"Investment company",18554766668,USA
leasing@jacobsengroup.com,"Jacobsen Real Estate Group",http://jacobsengroup.com,"Lake Oswego",Oregon,"Property Developer",15036753925,USA
wende@iwillbuyhouse.com,"I Will Buy House - Portland",https://www.iwillbuyhouse.com,Tigard,Oregon,"Property Investment",12062315864,USA
dawn@sharedvisionrealestate.com,"Shared Vision LLC",https://sharedvisionrealestate.com,Salem,Oregon,"Investment company",15039021600,USA
yolandazuger@kw.com,"Keller Williams: Yolanda Zuger Principal Broker Cornerstone Team",http://www.yolandazuger.com,Dallas,Oregon,"Property Consultant",15035807031,USA
rdcrouse@charter.net,"Crouse & Associates Real Estate",http://www.debbiecrouse-realtor.com,Medford,Oregon,"Property Consultant",15418408797,USA
